No.,チャンネル名,所属,登録者数,最終投稿日,ゲーム動画率,日本語率,主なジャンル,自動判定,あなたの判定,チャンネルURL,直近タイトル例
1487,和太鼓・法螺貝奏者　野中耀博,,7690,2026-09-06,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UC_sZwkiw9gE1159mAcDG2eQ,
1488,くろがねch,,7680,2026-08-29,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCNpwqmTF5AZHHU4Ok0THDMw,【ドラクエウォーク】ヘルプラネット攻略！伝説のあの防具で旧武器でもフルオート可能（天気のほこら雨）
1489,ながれ,,7670,2026-08-24,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCruhOE4OyrtIZWNLHTv-sAQ,
1490,夏菜やまと-LoLカタリナ解説-,,7660,2026-08-28,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCINYAsNAhkwJItxjwbFoAWA,
1491,ホビドワ,,7610,2026-09-06,0.67,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCil0d39KU_H-R0kBTA_T4-w,【Divinum】実質2Dデビルメイクライ！空中で爽快コンボを叩きつけるアクションアドベンチャー【ボス戦まとめ 総集編】
1492,スケパチ,,7580,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UCDKgEHgHKEQ6fqTm_u2-ilg,1分間超巨大クッパから逃げ切れ!!【大乱闘スマッシュブラザーズSP】#スマブラ #スマブラsp #最強キャラ #ラリー
1493,らいふ,,7580,2026-09-03,1.0,0.65,アドベンチャー,残す,,https://www.youtube.com/channel/UC-9DCH-4cKm6g205JB8DuRw,【鬼武者 Way of the Sword / Onimusha: Way of the Sword 】初見実況配信！【
1494,きょうき,,7560,2026-08-28,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UC6Mf30bTZj2cXH9wmlcOCkw,
1495,うにか,,7500,2026-09-04,0.32,1.0,アクション（横スクロール）,残す,,https://www.youtube.com/channel/UC98NzqvofaL638fEL9hu9eA,【鬼武者】Way of the Sword　初見プレイ 難易度剣戟に挑戦【マルチゲーム系Vtuber/うにか】【ネタバレ
1496,のぶのゲーマー日記,,7430,2026-08-28,0.85,1.0,,残す,,https://www.youtube.com/channel/UC1lXp4j9uoq-_4SX9SggKdw,土曜の大会に向けて開眼スト6 #スト6
1497,aruka_ch_,,7390,2026-08-27,0.64,1.0,,残す,,https://www.youtube.com/channel/UC01lZajiwtd1LDzUkbEqogA,【スト6】金曜日！大会前だけどのじゃりたい！！【 #あるか絶叫中 #同時配信 】
1498,アーカネ財団,,7390,2026-08-07,0.1,1.0,RTS,残す,,https://www.youtube.com/channel/UCVV8sCxdCyh3Nj6ouiFsUIg,【ゲーム制作日記】ダンジョン経営ゲームを作るで！【ボイスロイド実況】１８話
1499,Raid Shadow Legends / BSえーこりん,,7350,2026-08-29,0.94,1.0,RPG,残す,,https://www.youtube.com/channel/UCdE9ao4b0_aRnuEfaz3TWvg,レイドシャドウレジェンド ストーリー完全把握 映画感覚で観るこの動画一本に全収録 日本語字幕版 ※ネタバレあり【ダークフ
1500,ラウルちゃん,,7340,2026-08-27,0.33,1.0,RPG,残す,,https://www.youtube.com/channel/UCSAPk26q_2xbnVVvAWGQ6vw,【極限縛り】FF6 メニュー開閉一切禁止でクリアを目指す配信 #レトロゲーム
1501,天神シニア,,7310,2026-08-26,0.3,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCIc_WCIurQuj3Maf2n-ozlg,【#日本事故物件監視協会3 】ガチの心霊現象が起きると噂の新作ホラゲやる【#JSP3 /#jsp /#vtuber/#ホ
1502,みやPチャンネル,,7300,2026-08-24,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCpbJYqcPopjrofh-mcKNAnw,【5連勝達成！】發王の見てるだけで上手くなる雀魂「雀聖2」雀王A１リーガー宮崎和樹プロ(みやP)の思考を全てを実況しなが
1503,ラッキーハゲの麻雀LIVEチャンネル　,,7300,2026-08-28,0.8,1.0,RPG,残す,,https://www.youtube.com/channel/UC_1Zrw5MVS6yH1dOz7XNT0g,#魂天リーグ   敗者がいるから試合は成り立つのだ 　木原浩一視点
1504,272 【ぶいすぽ切り抜き】,,7250,2026-08-25,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UCLNI_djAPvsMFihOFblOhhg,
1505,甘果いちご,,7250,2026-09-06,1.0,1.0,シューター,残す,,https://www.youtube.com/channel/UCOIFzMB8R6ypLQZ3mb0RnIQ,【BF1】キャンペーンまとめ見！第一次世界大戦の物語に引き込まれる！【Battlefield1:甘果いちご】
1506,ホン・ユニのホラゲ実況,,7240,2026-08-28,0.94,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCpQU-yQV1mSlHi9XSONsppA,【FF6】閉ざされてしまった封魔壁！ベクタから！完全初見 ファイナルファンタジーVI【FINAL FANTASY VI 
1507,Spacey,,7240,2026-08-21,0.29,0.0,アドベンチャー,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCIsNFb7bTpiy92MzbVXK-RA,My FIRST TIME on Extinction!!!
1508,だいふく,,7240,2026-08-26,0.0,0.9,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCDTs_GdsgcUGd7VkG8DAakQ,ヨネヤスオのクリティカルが最強になった件
1509,カヤハナタ〈脱出系ゲーム実況者〉,,7220,2026-08-31,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCKCeShWNwAyOu0iWyx1NBDg,【ネタバレ注意】出会ってしまった…【都市伝説解体センター Part21】#都市伝説解体センター #推理ゲーム #ゲーム実
1510,つくねDE,,7220,2026-08-28,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCTQ-CdkW1aWhQDRHgLm4Z0g,
1511,syakegohan (しゃけごはん),,7200,2026-08-20,1.0,1.0,パズル,残す,,https://www.youtube.com/channel/UCjaIDXm6AZz1fMkBT-OU8Ag,vs あちみつさん 3先3セット先取 Part5【ぷよぷよテトリス２】
1512,ごじゃるレトロゲームVtuber,,7200,2026-08-29,0.5,1.0,RPG,残す,,https://www.youtube.com/channel/UCrj3Muoy1mtYHh0VD7bsjXw,【アーケード】プリルラ 実況プレイ配信【レトロゲーム/vtuber】
1513,みゅう@ぷにぷに,,7170,2026-08-29,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCRI7JQxRYDedUK1lLXzQu8A,五等分の花嫁コラボ情報ざっくりまとめ！【ぷにぷに】【ぷにぷに百物語9弾/かのかりミニコラボイベント】
1514,夏芽川アキ / Natsumegawa Aki,,7150,2026-08-27,0.2,1.0,,残す,,https://www.youtube.com/channel/UC8f0CKYBVo4enRKF00XIw1Q,【 18TRIP / エイトリ 】ついに読むぞ、ちぃ様フィチャ！！こんなに楽しげな名前なのに泣けるってガチですか…？？？
1515,ちょたぴゲームズ / Chotapi Games,,7150,2026-08-29,1.0,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCt7tmYyy-UOwHKQHLIKm8iw,"小学4年生9歳が世界9,927位！フォートナイト リロードランク3試合ダイジェスト【ハイライト有】"
1516,ダナ,,7120,2026-08-28,0.45,1.0,シューター,残す,,https://www.youtube.com/channel/UCR6652tIKYkra5XCvH13u0g,【ARK/ASA】アストレオス最終アップデート！とりあえず追加された要素をざっくりと解説しました！【ローカル】
1517, なぎせいな / 凪世薙,,7120,2026-08-29,0.35,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCUMdDOXXGI2YYfL_gSHyIjg,【キニーと名状しがたいおでん屋】シーフード最終形態ギガロドン＆クラーケン大量生産...！？合体しまくって最強海鮮無双。「
1518,しあ,,7110,2026-08-27,0.71,1.0,RPG,残す,,https://www.youtube.com/channel/UClZG1A0zG-yewBAwgYMgiig,【LoL解説】初心者必見！メイジアイテム全部解説してみた
1519,こうよう,,7090,2026-08-27,0.22,1.0,,残す,,https://www.youtube.com/channel/UCGMlzFH-DvG16jtrL9mYE0w,参加型【ぷよぷよ】#ライブ
1520,Takumin Games,,7040,2026-08-27,1.0,1.0,,残す,,https://www.youtube.com/channel/UCRGPVlZYqMhcUO-EFVXl6BA,【みんｺﾞﾙ ｱﾌﾟﾘ】ﾗﾝﾄﾅ実況20260817～★４ 「嵐対策」始動！
1521,用心BΩY,,7040,2026-08-26,1.0,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCxcgldGxCwHJwIoYy-dFRHw,#鉄拳8　今週もチクリンカップで九州に行くために振替！21時から　2先誰でもアモーレラウンジ対戦会　希望者にはプチアドバ
1522,みみまる,,6960,2026-08-22,1.0,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UC25fYAhVzFpQ5Rg4VOJ_Q9g,【ぽこポケ】🐋時計台を囲む青の海ぞこの街🫧｜ ブクブクうみぞこのまち｜ぽこあポケモンの街づくり・建築｜作り方・解説付き【
1523,太神 陽 / Hinata Ooga☀️🍓,,6950,2026-08-26,1.0,1.0,,残す,,https://www.youtube.com/channel/UCyXT_Wf4wiT1k9J01GH3QMA,【ドラクエ７リイマジンド】#33 【クリア後】裏ボスリベンジ編！※ネタバレあり【ドラゴンクエストVII Reimagin
1524,最強になりたい格ゲーマーささき,,6950,2026-09-01,0.29,0.71,,残す,,https://www.youtube.com/channel/UCId2RDKXmVuYpk9i98f3sQg,【SFL2026】王者ZETA戦！iXA応援会場【第二節】
1525,ポメヒ将棋チャンネル,,6900,2026-08-26,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCQa6XXEAeKjkcJ3JRo0m24g,でっかい将棋配信【男性個人Vtuber】#棋桜
1526,あおばじゃぱん,,6880,2026-08-28,0.82,1.0,シューター,残す,,https://www.youtube.com/channel/UCur7LaX5ukiOXErFWHl-Y2Q,【プロスク】絶好調なチームのはずが1人の行動により...【あおばじゃぱん/Lykq/Juxo/APEX】
1527,たまねぎけんしLv.87【ゆっくりレトロゲー実況】,,6880,2026-09-04,0.25,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCj_llXmkRL4XVbQtwowXkyw,【ゆっくり実況】難易度銀河級!?スーパースターウォーズ 【レトロゲーム】 SFC スーパーファミコン SUPER STA
1528,Feles,,6860,2026-08-25,0.89,1.0,シューター,残す,,https://www.youtube.com/channel/UCzoWNMbwewNNZEbyHR2h4aw,【EFT】俺 た ち ズ ッ ト モ【タルコフ】
1529,sa-nigo【アスレ勢】,,6770,2026-08-31,1.0,1.0,,残す,,https://www.youtube.com/channel/UCDg_aGFI69hc66z3s1ZNgwA,[Minecraft] 誰でも参加OK！マイクラ統合版アスレチック参加型配信！(予定時間:20時～22時30分) #マイ
1530,如月ノイズ / noise【よにんぐみ。】,,6760,2026-08-28,0.18,1.0,RPG,残す,,https://www.youtube.com/channel/UCnXuWcdXFM-4hmRZBVEZLJA,【 オクトパストラベラー0 】初見プレイ 最高難易度鬼畜になる 縛りプレイ たすけて…  part14【 視聴者参加型 
1531,オタロード〜Vtuberまとめ〜,,6750,2026-08-27,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCQTqonDvmoGqECJp8kDdx0g,
1532,ゲンヤ Genya,,6740,2026-08-27,1.0,1.0,,残す,,https://www.youtube.com/channel/UCZbjt_lZLiGcGTDw2zzjrQQ,【初見・質問歓迎】結局気合と我慢 鉄拳8 シーズン3
1533,音無えりな,,6740,2026-08-27,0.5,0.9,シューター,残す,,https://www.youtube.com/channel/UClJo0WyLEOI5j_pOYzuSnWA,【鉄拳8】ドラグノフを少し ※同時配信中
1534,TOMATIN ch,,6710,2026-08-29,0.9,0.9,シューター,残す,,https://www.youtube.com/channel/UCuZukuCUNhiAbB5r7ZMmMUw,【COD Mobile】視聴者参加型配信‼️‼️
1535,カクブロ,,6700,2026-08-27,0.33,1.0,,残す,,https://www.youtube.com/channel/UCiKL7X_ASaHxT59kCmKox6Q,オフ会ありがとう&お疲れ様でしたアフターパーティ会場
1536,桃之もれん Momono Moren Ch,,6700,2026-08-28,0.19,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCcuv9tBNHNNhprs-Xwt44QA,【ファンタジーライフi】完全初見🔰探索！バカデッカーナ大陸✨ストーリー攻略中！
1537,S.A.K.R　【サークル】,,6700,2026-08-09,0.5,1.0,パズル,残す,,https://www.youtube.com/channel/UCsKoQh06oMVOVk3BrCAhpdg,【One Shot】一度きりの冒険
1538,うりり,,6680,2026-08-28,0.05,1.0,シューター,残す,,https://www.youtube.com/channel/UCeWHdQIyhz1kbp85Ps0ORgw,【FF6 ピクセルリマスター】RPG音痴が完全初見で挑む、名作ファイナルファンタジーVI【 #vtuber うりり】
1539,けしごむ,,6670,2026-08-23,0.95,1.0,,残す,,https://www.youtube.com/channel/UCu6pm6RcPODzb73eOn9fuUg,【ドラクエ11s】初期ステータスで世界を救う縛りプレイ(MOD使用) 【ゆっくり実況】EX-4
1540,たいじぇすと【たいじ切り抜き】,,6660,2026-08-20,0.75,1.0,シューター,外す（切り抜き）,,https://www.youtube.com/channel/UCSPv1e_WlmJgk7AKTByB0sQ,もこうのスカイダイビングを見るたいじ
1541,るー,,6620,2026-08-29,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCejlJ1JpJZRESqViniRrghA,
1542,ヨシ-yoshi-のゲーム実況チャンネル,,6580,2026-08-30,1.0,1.0,,残す,,https://www.youtube.com/channel/UCOk6xKN1t6GKFhjXOG0gNyQ,ヒュルケンベルグと誓いの絆！真の騎士への覚醒と「盲信の塔」での地獄の特訓【メタファー：リファンタジオ】#27
1543,やくるてぃ【スマブラネタ&解説】,,6540,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UCNwSUqBamcrTnABeyqJPgGQ,【スマブラSP配信】プロ級ロイクロムでVIP50連勝目指す【初見さん歓迎】
1544,チベスナ / TibeSuna,,6540,2026-08-28,0.92,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCLW2U4dURPu5oG-NYfcJ4tg,我々がDbDをやる理由 Pt.3【Deadbydaylight/デッドバイデイライト】 #チベスナ
1545,アクアch.【ゆっくり実況】,,6520,2026-08-25,0.27,1.0,シューター,残す,,https://www.youtube.com/channel/UC-_lHglejPZTn02a1F6BamQ,【恐竜が邪魔！！】一般人が1時間本気でTA練習したらタイムはどれくらい速くなるの？#18「ディノディノジャングル」【ゆっ
1546,ONWAのゲームチャンネル,,6500,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCgZj9I84--PHQNIwsFhozZQ,"クッパ城3 1'13""91 スーパーマリオカート150cc NBT"
1547,貴様まさか🦈,,6490,2026-08-28,1.0,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCKJh9uZbCzo6ugU5utaWQjQ,【REPO】幼稚園児たちに見えてきますよ【貴様まさか / 新人Vtuber】
1548,Neko240,,6490,2026-08-27,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCvCWgabpZfHGb8koYMYQk2A,"【バイオRE4/ランダマイザーMOD】変更多数！難易度が爆上がりしたランダム世界でノーデスチャレンジ！No,19【BIO"
1549,うっほい聖人,,6490,2026-09-02,0.78,1.0,,残す,,https://www.youtube.com/channel/UC0CFCqJPJGbihJqo_AQrO2w,【視聴者参加型】1時間楽しみます！スマブラ336回目の配信!主VS視聴者のエンジョイ専用部屋
1550,桜川モナミ / Monami's GAME Ch.🎮,,6480,2026-09-01,0.75,1.0,シューター,残す,,https://www.youtube.com/channel/UC8RPl9KN1UwND3lWA0mdSsg,【#アークナイツ】完全初見🔰P3Rコラボに惹かれて始めた新人ドクター #2【桜川モナミ】
1551,白河水月 / Mitsuki Shirakawa,,6480,2026-09-04,0.89,1.0,レース,残す,,https://www.youtube.com/channel/UCgOGJOPEjfwALrVdCqRWwLg,🔴【妹に運転を教える】頼むからお姉ちゃんの言うことを聞いてくれ🌙ペーパードライバーの妹にアドバイスをして無事に目的地へた
1552,椿 くおん -Tsubaki Kuon-,,6470,2026-08-30,0.4,1.0,RPG,残す,,https://www.youtube.com/channel/UC2do9S4mKf6HLrjNPOlsZ6g,【#ウマ娘 】完全初見🔰ウマ娘のモデルを知る🐎フジキセキ・ファレノプシス編 #vtuber #ウマ娘プリティーダービー 
1553,さと,,6460,2026-08-30,0.05,1.0,シューター,残す,,https://www.youtube.com/channel/UCnxjzXHUzCH68KzO1p0l06Q,【ゲームボーイ】ウィザードリィ外伝Ⅰ 女王の受難 初見実況 #15【Vtuber】
1554,かにみそ Kanimiso,,6450,2026-09-07,0.68,1.0,シューター,残す,,https://www.youtube.com/channel/UCRSod5OLSE0QvL3K3mmGZsg,【雀魂】秋服は何月から着るの？　#個人勢vtuber  #かにみそ #段位戦
1555,Hiromi Ch. 白河ひろみ,,6410,2026-08-28,0.05,1.0,,残す,,https://www.youtube.com/channel/UCQGbFNR_Zu80hpL1-cj6gYg,【スイカゲーム新モード】ミラクルサーカス☆ 実況プレイ配信
1556,石井一馬のづまチャンネル,,6380,2026-08-08,0.05,1.0,,残す,,https://www.youtube.com/channel/UCBgo4o87oAPmQqlsyqkrCYw,【石井一馬の雀魂段位戦配信#6】玉の間で段位戦を打ちます。
1557,浅葱なぎ,,6350,2026-09-02,0.86,1.0,RPG,残す,,https://www.youtube.com/channel/UCeQt_YY1AMfpUjEkhY7vrwQ,新バージョン来たぁ！再旅者ティフォロス引くぞッ！【 アークナイツ： #エンドフィールド｜公認クリエイター】#PR #ぶい
1558,しゃもじ豆,,6340,2026-09-03,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCreCmqGkjZof9lYhPovmq6w,隙間に何かがいる【隙間】フリーホラーゲーム実況
1559,負け組ゆーちゃんねる,,6330,2026-09-06,1.0,1.0,,残す,,https://www.youtube.com/channel/UCA3hdWC4h2_Co19nrElM69g,【コイツ激寒すぎてブチギレ沸騰して激熱なったわ】『鉄拳8』イライラ更年期障害ブライアンが『KING』の立ち回りが気持ち悪
1560,チェゴヤ,,6310,2026-08-28,0.67,1.0,RPG,残す,,https://www.youtube.com/channel/UCV4W1LbWyEq9VlRzKp2R4mw,【LOL】どちら様ですか？
1561,鵺本ねむ / Nuemoto Nemu,,6210,2026-08-30,0.4,1.0,RPG,残す,,https://www.youtube.com/channel/UCwE-RdkK2db-m-ukMxcp_Hw,【ペルソナ3 リロード】#16 ゆかりちゃんと添い遂げたい（9/3～）/鵺本ねむ/ #セガアトラス配信中
1562,あらかなチャンネル,,6200,2026-08-29,1.0,1.0,アクション（横スクロール）,残す,,https://www.youtube.com/channel/UC73ogTYDKsh53pZWtQCZupQ,ヘキサリングさん大理石防衛戦！カスタム5勝！誰でも参加可能！【フォールガイズ】【Fall Guys】
1563,ジェイユ⚔️Jeyou,,6190,2026-08-24,0.32,0.95,アドベンチャー,残す,,https://www.youtube.com/channel/UCD1TlgUKuD7gXtj99_AFJoA,【雪葬】考察：すべて解説します。雪を掘りながら…文字通り深掘り実況　チラズアート最新作ホラーゲーム
